"filename", "language", "JavaScript JSX", "JavaScript", "comment", "blank", "total"
"/Users/otissaint/Documents/ElecDaw/src/renderer/src/Core/Canvas/canvas_controller.js", "JavaScript", 0, 2, 0, 0, 2
"/Users/otissaint/Documents/ElecDaw/src/renderer/src/Kernel/PianoRoll/PianoRollDrawer.js", "JavaScript", 0, 8, 0, 5, 13
"/Users/otissaint/Documents/ElecDaw/src/renderer/src/Kernel/Project/Project.js", "JavaScript", 0, 0, 1, 0, 1
"/Users/otissaint/Documents/ElecDaw/src/renderer/src/Kernel/Tracks/Drawing/TrackDrawer.js", "JavaScript", 0, 176, 62, 82, 320
"/Users/otissaint/Documents/ElecDaw/src/renderer/src/Kernel/Tracks/Track/Track.js", "JavaScript", 0, 22, 5, 6, 33
"/Users/otissaint/Documents/ElecDaw/src/renderer/src/Kernel/Tracks/Track/VirtualInstrumentTrack.js", "JavaScript", 0, 12, 1, 4, 17
"/Users/otissaint/Documents/ElecDaw/src/renderer/src/Kernel/Tracks/TrackDrawer.js", "JavaScript", 0, -48, -19, -25, -92
"/Users/otissaint/Documents/ElecDaw/src/renderer/src/components/PianoRoll/PianoRoll.jsx", "JavaScript JSX", 15, 0, 0, 6, 21
"/Users/otissaint/Documents/ElecDaw/src/renderer/src/components/Project/TracksLayer.jsx", "JavaScript JSX", 28, 0, 5, 4, 37
"Total", "-", 43, 172, 55, 82, 352
